"locationID","verbatimLatitude","verbatimLongitude","verbatimWaterbody","Program"
"OWW04440-0128",38.752093,-80.940894,"O'BRIEN CREEK","EPA"
"OWW04440-0130",43.225481,-74.472742,"WHITMAN FLOWAGE","EPA"
"OWW04440-0131",36.006407,-97.330866,"CIMMARON RIVER","EPA"
"OWW04440-0132",36.458622,-82.42155,"GAMMON CREEK","EPA"
"OWW04440-0133",34.105736,-91.33638,"LITTLE POST BAYOU","EPA"
"OWW04440-0134",40.805624,-81.390095,"WEST BRANCH NIMISHILLEN CREEK","EPA"
"OWW04440-0138",39.717174,-74.883811,"UNKNOWN","EPA"
"OWW04440-0139",38.244735,-92.414657,"COON CREEK","EPA"
"OWW04440-0142",35.069568,-87.414053,"DIXON BRANCH","EPA"
"OWW04440-0146",44.1428,-86.013328,"LITTLE MANISTEE RIVER","EPA"
"OWW04440-0147",40.596784,-99.163805,"DRY CREEK","EPA"
"OWW04440-0149",34.840201,-97.611901,"HYBARGER CREEK","EPA"
"OWW04440-0151",45.263517,-89.228153,"CLEARWATER CREEK","EPA"
"OWW04440-0157",31.898554,-96.166068,"TEHUACANA CREEK","EPA"
"OWW04440-0158",37.080707,-86.571582,"GASPER RIVER","EPA"
"OWW04440-0163",37.395263,-98.925902,"TURKEY CREEK","EPA"
"OWW04440-0164",35.763565,-83.211363,"COSBY CREEK","EPA"
"OWW04440-0165",34.986,-93.603316,"DUTCH CREEK","EPA"
"OWW04440-0166",39.816486,-76.648765,"EAST BRANCH CODORUS CREEK","EPA"
"OWW04440-0168",39.718536,-92.74401,"PUZZLE CREEK","EPA"
"OWW04440-0169",30.845848,-93.089046,"SANDY CREEK","EPA"
"OWW04440-0170",41.85392,-78.005325,"UNKNOWN TRIB. TO S. BR. OSWAYO CR.","EPA"
"OWW04440-0171",45.534491,-88.447384,"PESHTIGO RIVER","EPA"
"OWW04440-0172",44.738112,-73.477017,"KENNON BROOK","EPA"
"OWW04440-0176",40.116109,-87.601751,"STONY CREEK","EPA"
"OWW04440-0178",39.794596,-74.828772,"U.T. TO ALQUATKA BRANCH","EPA"
"OWW04440-0179",38.011978,-97.163604,"EAST BRANCH WHITEWATER CREEK","EPA"
"OWW04440-0181",33.068254,-94.46824,"FLAT CREEK","EPA"
"OWW04440-0182",33.872632,-86.323648,"EARLY CREEK","EPA"
"OWW04440-0184",42.988482,-88.278237,"PEBBLE CREEK","EPA"
"OWW04440-0185",36.218228,-91.270058,"WELLS CREEK","EPA"
"OWW04440-0186",40.357418,-78.430339,"SOUTH DRY RUN","EPA"
"OWW04440-0191",42.791533,-77.649503,"UNKNOWN","EPA"
"OWW04440-0192",39.747466,-82.778834,"LITTLE WALNUT CREEK","EPA"
"OWW04440-0195",35.391558,-99.881552,"WEST BUFFALO CREEK","EPA"
"OWW04440-0196",36.562842,-81.242672,"UT ELK CREEK","EPA"
"OWW04440-0197",35.543309,-91.742533,"ELBOW CREEK","EPA"
"OWW04440-0199",46.064737,-93.659538,"BLACK BROOK","EPA"
"OWW04440-0200",39.335891,-91.851414,"YOUNGS CREEK","EPA"
"OWW04440-0203",46.313737,-86.898195,"BLACK CREEK","EPA"
"OWW04440-0205",36.43577,-105.236048,"SALADON CREEK","EPA"
"OWW04440-0206",34.549858,-83.703058,"TRIBUTARY TO MOSSY CREEK","EPA"
"OWW04440-0210",41.568103,-74.677471,"BUSHKILL","EPA"
"OWW04440-0211",36.244619,-92.835666,"CROOKED CREEK","EPA"
"OWW04440-0212",36.542099,-81.154327,"UT NEW RIVER","EPA"
"OWW04440-0218",41.46964,-80.095353,"NORTH DEER CREEK","EPA"
"OWW04440-0219",42.848375,-97.405694,"BEAVER CREEK","EPA"
"OWW04440-0221",31.395792,-95.43416,"HAMMOND CREEK TRIB","EPA"
"OWW04440-0224",41.093739,-85.801082,"NNT PLUNGE CREEK","EPA"
"OWW04440-0226",43.526151,-86.115899,"SOUTH BRANCH WHITE RIVER","EPA"
"OWW04440-0231",45.525376,-90.708782,"SOUTH FORK MAIN CREEK","EPA"
"OWW04440-0233",30.951593,-90.689792,"MILL CREEK","EPA"
"OWW04440-0234",38.82028,-80.188866,"PANTHER FORK","EPA"
"OWW04440-0238",35.857944,-83.551139,"MIDDLE CREEK","EPA"
"OWW04440-0240",39.640823,-85.569372,"LITTLE BLUE RIVER","EPA"
"OWW04440-0242",39.926575,-76.089709,"MEETINGHOUSE CREEK","EPA"
"OWW04440-0243",37.408288,-93.188183,"LITTLE POMME DE TERRE","EPA"
"OWW04440-0248",41.970974,-85.301598,"NO NAME","EPA"
"OWW04440-0250",41.123445,-83.095508,"UNNAMED TRIB MORRISON CRK","EPA"
"OWW04440-0252",37.525431,-89.187781,"UNNAMEC TRIB CACHE RIVER","EPA"
"OWW04440-0255",42.605198,-73.480326,"TACKAWASICK CREEK","EPA"
"OWW04440-0256",39.004168,-83.844308,"EAST FORK WHITE OAK CREEK","EPA"
"OWW04440-0257",42.622145,-103.715891,"WHITE RIVER","EPA"
"OWW04440-0258",43.696314,-74.854973,"UNKNOWN TRIB","EPA"
"OWW04440-0262",40.756275,-80.218935,"BRUSH CREEK","EPA"
"OWW04440-0263",47.941305,-94.533299,"BATTLE RIVER","EPA"
"OWW04440-0266",39.578187,-76.057909,"MILL CREEK","EPA"
"OWW04440-0267",38.986653,-94.171869,"SNI-A-BAR CREEK","EPA"
"OWW04440-0271",38.269946,-75.276994,"MASSEY BRANCH","EPA"
"OWW04440-0274",44.117643,-84.946862,"CRANBERRY CREEK","EPA"
"OWW04440-0275",41.887055,-97.703132,"BATTLE CREEK","EPA"
"OWW04440-0277",33.668361,-96.014601,"BOIS D'ARC CREEK","EPA"
"OWW04440-0282",39.631619,-81.193078,"CLEAR FORK LITTLE PIRSKINGUM","EPA"
"OWW04440-0283",47.698854,-91.005535,"CROSS RIVER","EPA"
"OWW04440-0286",36.386548,-86.621344,"DRAKE CREEK","EPA"
"OWW04440-0290",41.846487,-80.604592,"ASHTABULA CREEK","EPA"
"OWW04440-0291",37.477001,-98.364988,"CHIKASKIA RIVER","EPA"
"OWW04440-0292",35.970151,-83.209699,"SINKING CREEK","EPA"
"OWW04440-0293",35.400951,-93.129851,"MCCOY CREEK","EPA"
"OWW04440-0294",39.048706,-77.214123,"WATTS BRANCH","EPA"
"OWW04440-0295",44.502707,-92.91782,"LITTLE CANNON RIVER","EPA"
"OWW04440-0296",38.781476,-92.529991,"HOWARD CREEK","EPA"
"OWW04440-0298",41.75609,-77.131904,"ELK RUN","EPA"
"OWW04440-0305",30.06656,-91.897691,"UNKNOWN","EPA"
"OWW04440-0311",46.371349,-92.605983,"WILLOW BROOK","EPA"
"OWW04440-0312",41.4079,-90.378346,"MOSQUITO CREEK","EPA"
