"type","modified","bibilographicCititation","CollectionID","datasetID","institutionCode","verbatimLocation","verbatimLatitude","verbatimLongitude","verbatimWaterbody","State","eventID","locationID","Year","verbatimEventDate","BFWidth","Grad","RchLen","BFWDRatio","BFHeight","WetWidth","WetWidthToDepth","RPD","PctPool","PctDry","StreamOrder","D50","PctFines2","PctFines6","LWDFreq","LWDVol","OEratio","MMI","Program"
NA,NA,NA,NA,NA,NA,NA,41.477807,-91.020575,"MAD CREEK","IA",NA,"IAW02344-0125","2004",NA,4.5636363636,0.566,148.5,9.9239586661,0.29,NA,19.33624259,8.2097863454,21,0,NA,NA,78.095238095,8.5714285714,NA,0.0102272392,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,41.972987,-95.0169,"W. NISHNABOTNA","IA",NA,"IAW02344-0128","2004",NA,5.6181818182,0.1,158.4,5.909193257,0.5709090909,NA,11.197242774,3.687559673,0,0,NA,NA,53.333333333,39.047619048,NA,0,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.65657,-96.36816,"PERRY CREEK","IA",NA,"IAW02344-0130","2004",NA,5.9545454545,0.37,198,5.4822913546,0.54,NA,8.5070949985,23.428129954,19,0,NA,NA,75.238095238,49.523809524,NA,0.0063231552,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.826805,-93.836982,"OTTER CREEK","IA",NA,"IAW02344-0132","2004",NA,9.2636363636,0.1,316.8,6.9283865824,0.8109090909,NA,15.046489295,6.8404040404,0,0,NA,NA,64.761904762,32.380952381,NA,5.92902e-05,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.756847,-91.563138,"HEWITT CREEK","IA",NA,"IAW02344-0133","2004",NA,3.5090909091,0.635,148.5,4.1283759346,0.3209090909,NA,5.9450886739,29.2562653,56,0,NA,NA,34.285714286,24.761904762,NA,0.000222606,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,40.85884,-92.495502,"SOAP CREEK","IA",NA,"IAW02344-0134","2004",NA,19.509090909,0.14,396,13.956327053,1.0054545455,NA,34.265868377,13.319221152,17,0,NA,NA,90.476190476,13.333333333,NA,0.0033016206,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,43.135349,-93.30084,"WILLOW CREEK","IA",NA,"IAW02344-0135","2004",NA,8.2727272727,0.2,277.2,9.1208402425,0.1972727273,NA,10.586754498,17.982851069,24,0,NA,NA,52.380952381,28.571428571,NA,0.0002716728,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.767949,-92.355718,"QUARTER SECTION RUN","IA",NA,"IAW02344-0139","2004",NA,5.8363636364,0,158.4,6.3665505911,0.3190909091,NA,7.0760869216,18.649858586,100,0,NA,NA,92.380952381,54.285714286,NA,0.0018258913,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.218529,-92.742188,"LITTLE WOLF CREEK","IA",NA,"IAW02344-0232","2004",NA,4.9545454545,0.1,148.5,4.2303463935,0.5936363636,NA,6.0331318975,17.317198821,5,0,NA,NA,59.047619048,35.238095238,NA,0,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.868822,-94.735492,"NORTH BRACH LIZARD CREEK","IA",NA,"IAW02344-0250","2004",NA,8.0272727273,0.1,277.2,7.7214564733,0.5372727273,NA,13.957698989,6.3140500555,0,0,NA,NA,86.666666667,8.5714285714,NA,0,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,43.138545,-91.608278,"YELLOW RIVER","IA",NA,"IAW02344-0253","2004",NA,10.527272727,0.58,277.2,10.280500243,0.6581818182,NA,24.824411636,16.03394331,24,0,NA,NA,31.428571429,29.523809524,NA,0.0001963566,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.560807,-90.94016,"MIDDLE FORK LITTLE MAQUOKETA CREEK","IA",NA,"IAW02344-0261","2004",NA,11.590909091,1.01,316.8,14.542060824,0.4681818182,NA,25.576940563,7.8167412645,16,0,NA,NA,17.142857143,15.238095238,NA,1.57952e-05,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,43.276736,-93.353791,"WILLOW CREEK","IA",NA,"IAW02344-IA01","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.329157,-91.981954,"LIME CREEK","IA",NA,"IAW02344-IA02","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.902773,-93.262418,"BAILEY CREEK","IA",NA,"IAW02344-IA04","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,43.377213,-91.397228,"FRENCH CREEK","IA",NA,"IAW02344-IA07","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,43.56344,-111.04657,"MOOSE CREEK","ID",NA,"ID0001","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.9052,-111.3725,"WEST FORK BEAVER CREEK","MT",NA,"MAD-0003","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.11524,-111.4977,"NO MAN CREEK","MT",NA,"MAD-0004","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.87609,-111.33925,"CABIN CREEK","MT",NA,"MAD-0005","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.99503,-111.48534,"WHITETAIL CREEK","MT",NA,"MT222052","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.98793,-111.41024,"TROUT CREEK","MT",NA,"MT224909","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.45397,-110.35462,"SOUTH FORK MUSSELL SHELL","MT",NA,"MT335341","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.49316,-106.66309,"LITTLE PORCUPINE CREEK","MT",NA,"MT405656","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.55535,-104.84822,"O'FALLON CREEK","MT",NA,"MT420908","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.43298,-107.96215,"MUDDY CREEK","MT",NA,"MT634738","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,47.61804,-102.60972,"MOCCASIN CREEK NEAR MANDAREE","ND",NA,"ND233668","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,47.20434,-103.86498,"BEAVER CREEK BELOW TROTTERS, ND","ND",NA,"ND293368","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.19369,-100.75213,"PORCUPINE CREEK","ND",NA,"ND552901","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.0661,-100.67056,"ONEMILE CREEK","ND",NA,"ND590072","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,47.11112,-69.014956,"AEGAN BROOK","ME",NA,"NEWS04-0101","2004",NA,7.3727272727,4.1,158.4,13.885704327,0.2863636364,NA,24.537717624,4.9993535354,2,0,NA,NA,18.260869565,5.2173913043,NA,0.0110640156,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,47.16987,-68.90787,"PETITE BROOK","ME",NA,"NEWS04-0108","2004",NA,6.2181818182,1.53,198,7.2275826474,0.6272727273,NA,16.275110213,6.2997920243,3,0,NA,NA,24.761904762,0,NA,0.0060721248,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.9965,-68.02482,"HALFWAY BROOK","ME",NA,"NEWS04-0203","2004",NA,14.618181818,1.66,356.4,21.006710213,0.3681818182,NA,35.837683607,6.3078187575,5,0,NA,NA,24.545454545,8.1818181818,NA,0.0015186414,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.8218,-69.717,"DEPOT STREAM","ME",NA,"NEWS04-0305","2004",NA,24.781818182,NA,990,28.705181048,0.5090909091,NA,63.246700954,NA,1,0,NA,NA,17.142857143,2.8571428571,NA,9.69267e-05,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.435407,-69.438582,"SNARE BROOK","ME",NA,"NEWS04-0401","2004",NA,8.6545454545,1.94,277.2,12.956723588,0.3090909091,NA,21.624661223,7.4004441224,5,0,NA,NA,12.380952381,2.8571428571,NA,0.0047323096,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,46.63766,-67.79674,"R. DE CHUTE","ME",NA,"NEWS04-0502","2004",NA,30.936363636,1.31,396,39.532417724,0.1545454545,NA,38.862362014,24.842525253,50,0,NA,NA,61.428571429,39.285714286,NA,0.0046472067,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.690392,-70.099792,"CHURCH HILL CREEK","ME",NA,"NEWS04-0602","2004",NA,11.890909091,2.31,237.6,18.992117178,0.3909090909,NA,33.628651004,6.4238259207,8,0,NA,NA,13.333333333,0,NA,0.0044204468,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.945036,-69.848482,"LOGAN BROOK","ME",NA,"NEWS04-0703","2004",NA,6.0545454545,2.65,158.4,10.674173213,0.3818181818,NA,25.72975774,3.4415353535,2,0,NA,NA,1.9047619048,0,NA,0.003304346,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.8845,-67.8623,"GREENLEAF BROOK","ME",NA,"NEWS04-0806","2004",NA,7.57,1.7222222222,198,14.183802617,0.25,NA,28.932155157,6.5593629015,7.7777777778,0,NA,NA,46.315789474,32.631578947,NA,0.0108562508,NA,NA,"EPA"
